Carbohydrate:,Fat,saturates,Salt (g),Protein g,Energy (kcal),Energy kg/kcal,Dietary fibre,Of which saturates,Carbohydrates:,Energy kcal,Carbohydrates,(kcal),Protein:,Carbohydrate g,Energy kJ,monounsaturates,Saturates,Energy value,Energy:,kcal,Proteins,Total Omega  3,reviews,Fiber,name,starch,Fibre (g),Protein,Protein (g),item_code,Energy  kJ,Mono unsaturates,and EPA,Energy (kJ),Trans Fat,price,Carbohydrate,Of which Sugars,Fibre,Carbohydrates (g),polyunsaturates,Country of Origin,sugars,unit,Energy,Total fat,Fibre g,Fat:,Polyunsaturates,Monounsaturates,rating,Polyols,Fat (g),Of which Saturates,Salt,Sodium,mono unsaturates,url,Energy kJ/kcal,Sugars,Starch,Of which sugars,Fat g,Salt g,Total Sugars,Salt:,Fats
,6.3g,,,,,,,,,2.5g,,,,,,,,,,,,,8,,Aunt Bessie's Golden Yorkshire Puddings x12 220g,,,7.9g,,3359556,,,,,,£1.00/unit,41g,,2.8g,,,,,unit,1043kJ/248kcal,,,,,,4.875,,,,0.72g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/aunt-bessies-yorkshire-puddings-x12-220g,,,,,,,,,
,0.7g,,,,,,,,,4.9g,,,,,,,,,,68kcal,,,5,,Birds Eye Garden Peas 800g,,,4.9g,,7840841,285kJ,,,,,£2.15/unit,7.5g,,6.0g,,,,,unit,,,,,,,4.8,,,,<0.01g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/birds-eye-garden-peas-800g,,,,,,,,,
,4.9g,,,,,,,,,2.2g,,,,,,,,,,,,,3,,Oxo Beef Stock Cubes x12 71g,,,17.4g,,2022000,,,,,,£1.00/unit,35.7g,,4.2g,,,,,unit,1117kJ/265kcal,,,,,,5.0,,,,30.70g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/oxo-stock-cubes--beef-x12-71g,,,,,,,,,
,1.3g,,,,,,,,,2.3g,,,,,,,,,,,,,1,,Paxo Sage & Onion Stuffing for Chicken 170g,,,3.6g,,7710577,,,,,,£1.30/unit,22.3g,,1.7g,,,,,unit,119kcal,,,,,,5.0,,,,0.93g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/paxo-sage---onion-stuffing-190g,,,,,,,,,
,6.5g,,,,,,,,,2.1g,,,,,,,,,,,,,8,,Bisto Best Beef Gravy 200g,,,4.2g,,2477114,,,,,,£1.75/unit,68.1g,,0.9g,,,,,unit,1477kJ/350kcal,,,,,,5.0,,,,12.59g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/bisto-best-gravy-granules--beef-200g,,,,,,,,,
,0.7g,,,,,,,,,4.9g,,,,,,,,,,68kcal,,,9,6.0g,Birds Eye Petits Pois 1.05kg,,,4.9g,,7840809,285kJ,,,,,£2.50/unit,7.5g,,,,,,,unit,,,,,,,3.7778,,,,<0.01g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/birds-eye-petits-pois-105kg,,,,,,,,,
,2.7g,,,,,,,,,0.8g,,,,,,,,,,,,,20,,Quorn Roast 454g,,,16.7g,,7341284,,,,,,£2.00/unit,3.0g,,5.0g,,,,,unit,477kJ,,,,,,3.9,,,,1.1g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/quorn-family-roast-454g,,,,,,,,,
,1.8g,,,,,,,,,<0.5g,,,,,,,,,,,,,30,,Aunt Bessie's Roast Potatoes 800g,,,2.1g,,7870966,,,,,,£2.00/unit,18g,,2.5g,,,,,unit,437kJ/104kcal,,,,,,4.5,,,,0.39g,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/aunt-bessies-roast-potatoes-800g,,,,,,,,,
,,,,1.8,,,,,,0.5,,,,20.7,930,,,,,223,,,10,,McCain Roasts 800g,,,,,7831228,,,,,,£1.50/unit,,,,,,,,unit,,,2.0,,,,3.4,,,,,,,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/mccain-roasts-800g,,,,,14.3,0.3,,,
,3.5g,,,,,,,,,170kcal,,,,,,,1.6g,,,,,,3,,Sainsbury's Lean Beef Roasting Joint,,,34.2g,,7947294,,,,,,£10.00/unit,<0.5g,,<0.5g,,,"Produced in United Kingdom; Packed in United Kingdom; Produced using British or Irish Beef, British or Irish beef",,unit,719kJ,,,,0.1g,1.7g,3.6667,,,,0.15g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1260046&urlRequestType=Base&categoryId=411855&catalogId=10100&langId=44,,<0.5g,<0.5g,,,,,,
